customer_id,first_name,last_name,city,signup_date,segment
1,Name1,Surname1,Pune,2022-02-09,Consumer
2,Name2,Surname2,Bangalore,2022-10-28,Corporate
3,Name3,Surname3,Chennai,2022-08-12,SmallBusiness
4,Name4,Surname4,Pune,2022-11-14,Consumer
5,Name5,Surname5,Mumbai,2022-12-15,Consumer
6,Name6,Surname6,Chennai,2022-04-25,Consumer
7,Name7,Surname7,Chennai,2023-11-29,Corporate
8,Name8,Surname8,Pune,2022-11-19,Corporate
9,Name9,Surname9,Delhi,2023-07-22,SmallBusiness
10,Name10,Surname10,Mumbai,2022-02-09,Corporate
11,Name11,Surname11,Pune,2024-05-15,Corporate
12,Name12,Surname12,Mumbai,2022-02-09,Consumer
13,Name13,Surname13,Mumbai,2024-05-08,Consumer
14,Name14,Surname14,Chennai,2024-01-19,Consumer
15,Name15,Surname15,Bangalore,2022-10-16,Consumer
16,Name16,Surname16,Mumbai,2022-09-19,Consumer
17,Name17,Surname17,Hyderabad,2022-08-04,Consumer
18,Name18,Surname18,Chennai,2022-05-27,Consumer
19,Name19,Surname19,Delhi,2022-12-02,SmallBusiness
20,Name20,Surname20,Bangalore,2022-06-17,SmallBusiness
21,Name21,Surname21,Hyderabad,2022-04-02,SmallBusiness
22,Name22,Surname22,Hyderabad,2022-12-19,SmallBusiness
23,Name23,Surname23,Delhi,2023-07-25,Consumer
24,Name24,Surname24,Bangalore,2023-07-25,SmallBusiness
25,Name25,Surname25,Chennai,2024-03-26,Consumer
26,Name26,Surname26,Kolkata,2023-11-12,SmallBusiness
27,Name27,Surname27,Bangalore,2024-02-20,Corporate
28,Name28,Surname28,Delhi,2022-12-29,SmallBusiness
29,Name29,Surname29,Hyderabad,2023-07-11,SmallBusiness
30,Name30,Surname30,Chennai,2022-12-11,Consumer
31,Name31,Surname31,Bangalore,2023-11-24,SmallBusiness
32,Name32,Surname32,Kolkata,2022-06-19,Corporate
33,Name33,Surname33,Kolkata,2022-12-22,Consumer
34,Name34,Surname34,Mumbai,2022-07-10,Consumer
35,Name35,Surname35,Mumbai,2023-10-29,SmallBusiness
36,Name36,Surname36,Pune,2023-02-26,Consumer
37,Name37,Surname37,Delhi,2023-12-01,Consumer
38,Name38,Surname38,Bangalore,2022-01-07,Consumer
39,Name39,Surname39,Bangalore,2022-05-13,Consumer
40,Name40,Surname40,Pune,2024-01-17,Consumer
41,Name41,Surname41,Hyderabad,2023-07-11,Consumer
42,Name42,Surname42,Hyderabad,2024-04-05,Corporate
43,Name43,Surname43,Pune,2024-01-31,SmallBusiness
44,Name44,Surname44,Hyderabad,2022-01-31,Corporate
45,Name45,Surname45,Mumbai,2023-06-19,Consumer
46,Name46,Surname46,Bangalore,2023-03-02,Consumer
47,Name47,Surname47,Pune,2023-01-29,SmallBusiness
48,Name48,Surname48,Bangalore,2023-11-03,Corporate
49,Name49,Surname49,Kolkata,2022-12-29,SmallBusiness
50,Name50,Surname50,Mumbai,2023-03-13,Corporate
51,Name51,Surname51,Chennai,2023-11-01,Consumer
52,Name52,Surname52,Mumbai,2023-07-05,SmallBusiness
53,Name53,Surname53,Pune,2022-03-23,SmallBusiness
54,Name54,Surname54,Chennai,2022-12-22,Consumer
55,Name55,Surname55,Kolkata,2022-09-15,SmallBusiness
56,Name56,Surname56,Pune,2023-12-19,Corporate
57,Name57,Surname57,Delhi,2023-08-12,Corporate
58,Name58,Surname58,Bangalore,2023-06-08,Corporate
59,Name59,Surname59,Kolkata,2022-10-22,Corporate
60,Name60,Surname60,Bangalore,2022-08-12,Consumer
61,Name61,Surname61,Hyderabad,2023-06-09,SmallBusiness
62,Name62,Surname62,Delhi,2022-02-15,Corporate
63,Name63,Surname63,Delhi,2023-10-29,Consumer
64,Name64,Surname64,Kolkata,2022-04-23,SmallBusiness
65,Name65,Surname65,Delhi,2022-08-21,SmallBusiness
66,Name66,Surname66,Chennai,2022-01-17,Consumer
67,Name67,Surname67,Delhi,2022-12-26,Consumer
68,Name68,Surname68,Bangalore,2022-08-11,Corporate
69,Name69,Surname69,Bangalore,2024-05-15,SmallBusiness
70,Name70,Surname70,Pune,2023-12-01,SmallBusiness
71,Name71,Surname71,Bangalore,2023-03-24,Consumer
72,Name72,Surname72,Pune,2024-05-05,SmallBusiness
73,Name73,Surname73,Bangalore,2022-12-31,Corporate
74,Name74,Surname74,Chennai,2023-11-06,SmallBusiness
75,Name75,Surname75,Pune,2022-11-22,Consumer
76,Name76,Surname76,Mumbai,2023-04-12,Consumer
77,Name77,Surname77,Hyderabad,2023-02-18,Corporate
78,Name78,Surname78,Kolkata,2023-03-31,Corporate
79,Name79,Surname79,Bangalore,2023-08-09,SmallBusiness
80,Name80,Surname80,Delhi,2022-08-21,SmallBusiness
81,Name81,Surname81,Bangalore,2022-08-12,Consumer
82,Name82,Surname82,Delhi,2024-04-10,Corporate
83,Name83,Surname83,Hyderabad,2023-02-16,Corporate
84,Name84,Surname84,Hyderabad,2023-07-26,Corporate
85,Name85,Surname85,Hyderabad,2022-12-01,SmallBusiness
86,Name86,Surname86,Delhi,2022-08-10,Corporate
87,Name87,Surname87,Bangalore,2022-02-06,Consumer
88,Name88,Surname88,Hyderabad,2022-10-05,Consumer
89,Name89,Surname89,Chennai,2022-07-15,SmallBusiness
90,Name90,Surname90,Pune,2024-05-13,SmallBusiness
91,Name91,Surname91,Delhi,2023-04-29,Corporate
92,Name92,Surname92,Delhi,2022-08-30,SmallBusiness
93,Name93,Surname93,Bangalore,2022-11-20,Consumer
94,Name94,Surname94,Delhi,2024-01-01,Corporate
95,Name95,Surname95,Delhi,2022-07-11,Consumer
96,Name96,Surname96,Hyderabad,2022-01-17,Corporate
97,Name97,Surname97,Bangalore,2023-06-08,SmallBusiness
98,Name98,Surname98,Hyderabad,2023-02-05,Corporate
99,Name99,Surname99,Pune,2024-06-04,Corporate
100,Name100,Surname100,Pune,2023-12-06,Consumer
101,Name101,Surname101,Hyderabad,2022-01-22,Consumer
102,Name102,Surname102,Pune,2023-04-19,Corporate
103,Name103,Surname103,Bangalore,2022-04-30,SmallBusiness
104,Name104,Surname104,Kolkata,2022-07-29,SmallBusiness
105,Name105,Surname105,Hyderabad,2022-11-02,Consumer
106,Name106,Surname106,Chennai,2022-09-27,SmallBusiness
107,Name107,Surname107,Chennai,2023-12-05,Consumer
108,Name108,Surname108,Delhi,2023-11-18,SmallBusiness
109,Name109,Surname109,Pune,2022-10-12,Corporate
110,Name110,Surname110,Chennai,2023-12-17,Consumer
111,Name111,Surname111,Delhi,2023-11-07,Consumer
112,Name112,Surname112,Kolkata,2024-02-02,Corporate
113,Name113,Surname113,Bangalore,2022-08-15,Consumer
114,Name114,Surname114,Bangalore,2023-01-16,SmallBusiness
115,Name115,Surname115,Bangalore,2023-04-05,SmallBusiness
116,Name116,Surname116,Chennai,2022-01-07,Consumer
117,Name117,Surname117,Kolkata,2022-01-29,SmallBusiness
118,Name118,Surname118,Chennai,2022-02-02,Consumer
119,Name119,Surname119,Pune,2023-10-08,Corporate
120,Name120,Surname120,Chennai,2024-05-28,Consumer
121,Name121,Surname121,Kolkata,2022-03-20,Corporate
122,Name122,Surname122,Kolkata,2023-04-04,SmallBusiness
123,Name123,Surname123,Pune,2023-07-24,Corporate
124,Name124,Surname124,Kolkata,2023-06-22,SmallBusiness
125,Name125,Surname125,Kolkata,2023-04-27,Consumer
126,Name126,Surname126,Bangalore,2023-03-06,SmallBusiness
127,Name127,Surname127,Pune,2024-01-08,Consumer
128,Name128,Surname128,Mumbai,2022-10-12,Consumer
129,Name129,Surname129,Mumbai,2023-05-31,Corporate
130,Name130,Surname130,Kolkata,2022-04-09,Corporate
131,Name131,Surname131,Mumbai,2023-02-01,Corporate
132,Name132,Surname132,Mumbai,2023-05-04,Corporate
133,Name133,Surname133,Kolkata,2022-02-08,SmallBusiness
134,Name134,Surname134,Mumbai,2022-09-28,SmallBusiness
135,Name135,Surname135,Chennai,2024-06-05,SmallBusiness
136,Name136,Surname136,Delhi,2024-03-07,Consumer
137,Name137,Surname137,Pune,2022-06-06,SmallBusiness
138,Name138,Surname138,Delhi,2022-03-16,SmallBusiness
139,Name139,Surname139,Kolkata,2024-06-02,SmallBusiness
140,Name140,Surname140,Bangalore,2024-03-10,Corporate
141,Name141,Surname141,Pune,2022-05-10,SmallBusiness
142,Name142,Surname142,Kolkata,2023-11-18,Consumer
143,Name143,Surname143,Bangalore,2022-03-25,Corporate
144,Name144,Surname144,Delhi,2022-01-22,Consumer
145,Name145,Surname145,Kolkata,2023-04-04,SmallBusiness
146,Name146,Surname146,Pune,2023-06-23,Corporate
147,Name147,Surname147,Pune,2023-12-08,Consumer
148,Name148,Surname148,Hyderabad,2024-04-28,SmallBusiness
149,Name149,Surname149,Chennai,2023-01-17,Consumer
150,Name150,Surname150,Mumbai,2024-01-18,Consumer
151,Name151,Surname151,Bangalore,2023-03-16,Consumer
152,Name152,Surname152,Hyderabad,2023-08-27,SmallBusiness
153,Name153,Surname153,Mumbai,2022-01-21,SmallBusiness
154,Name154,Surname154,Mumbai,2022-10-30,Consumer
155,Name155,Surname155,Kolkata,2024-05-18,Corporate
156,Name156,Surname156,Mumbai,2022-03-25,Corporate
157,Name157,Surname157,Chennai,2024-02-13,SmallBusiness
158,Name158,Surname158,Pune,2023-10-21,SmallBusiness
159,Name159,Surname159,Hyderabad,2023-03-29,SmallBusiness
160,Name160,Surname160,Mumbai,2023-01-22,SmallBusiness
161,Name161,Surname161,Kolkata,2023-05-22,SmallBusiness
162,Name162,Surname162,Chennai,2022-09-14,Corporate
163,Name163,Surname163,Delhi,2023-07-24,SmallBusiness
164,Name164,Surname164,Pune,2024-06-10,Consumer
165,Name165,Surname165,Pune,2023-06-11,Consumer
166,Name166,Surname166,Hyderabad,2022-06-11,Corporate
167,Name167,Surname167,Pune,2022-06-12,Consumer
168,Name168,Surname168,Mumbai,2024-04-11,Corporate
169,Name169,Surname169,Kolkata,2024-03-03,Corporate
170,Name170,Surname170,Pune,2024-03-02,Consumer
171,Name171,Surname171,Pune,2023-06-08,SmallBusiness
172,Name172,Surname172,Delhi,2024-02-25,Consumer
173,Name173,Surname173,Delhi,2022-09-28,Consumer
174,Name174,Surname174,Bangalore,2023-05-07,Corporate
175,Name175,Surname175,Chennai,2022-07-27,Consumer
176,Name176,Surname176,Mumbai,2023-06-23,Corporate
177,Name177,Surname177,Pune,2023-08-07,SmallBusiness
178,Name178,Surname178,Pune,2022-03-01,SmallBusiness
179,Name179,Surname179,Kolkata,2023-03-06,SmallBusiness
180,Name180,Surname180,Bangalore,2023-10-19,Consumer
181,Name181,Surname181,Chennai,2023-08-28,Corporate
182,Name182,Surname182,Bangalore,2022-11-05,SmallBusiness
183,Name183,Surname183,Hyderabad,2023-06-04,Corporate
184,Name184,Surname184,Chennai,2023-08-14,Corporate
185,Name185,Surname185,Pune,2022-01-27,SmallBusiness
186,Name186,Surname186,Pune,2023-11-17,SmallBusiness
187,Name187,Surname187,Chennai,2023-07-16,Corporate
188,Name188,Surname188,Pune,2022-07-18,SmallBusiness
189,Name189,Surname189,Mumbai,2023-01-22,Corporate
190,Name190,Surname190,Chennai,2022-12-15,Corporate
191,Name191,Surname191,Bangalore,2023-11-24,SmallBusiness
192,Name192,Surname192,Chennai,2023-06-20,Consumer
193,Name193,Surname193,Pune,2024-04-07,SmallBusiness
194,Name194,Surname194,Mumbai,2023-01-13,Consumer
195,Name195,Surname195,Mumbai,2024-06-17,Corporate
196,Name196,Surname196,Hyderabad,2023-07-12,Corporate
197,Name197,Surname197,Bangalore,2023-06-11,Consumer
198,Name198,Surname198,Delhi,2022-06-02,Corporate
199,Name199,Surname199,Delhi,2024-01-04,Consumer
200,Name200,Surname200,Chennai,2022-07-25,Consumer
201,Name201,Surname201,Hyderabad,2023-03-31,Corporate
202,Name202,Surname202,Kolkata,2022-09-30,Consumer
203,Name203,Surname203,Chennai,2024-06-12,SmallBusiness
204,Name204,Surname204,Hyderabad,2022-08-24,SmallBusiness
205,Name205,Surname205,Bangalore,2024-05-01,Corporate
206,Name206,Surname206,Bangalore,2024-01-10,Corporate
207,Name207,Surname207,Bangalore,2023-06-05,Consumer
208,Name208,Surname208,Bangalore,2023-11-09,Consumer
209,Name209,Surname209,Bangalore,2024-04-10,Consumer
210,Name210,Surname210,Hyderabad,2023-12-27,Consumer
211,Name211,Surname211,Hyderabad,2023-05-16,SmallBusiness
212,Name212,Surname212,Mumbai,2022-04-27,SmallBusiness
